Interaction: id=7491738, ip=138.199.35.217, site=Bartonphillips, page=/test-loging.php, event=scroll, time=2025:03:26 14:42:08
Interaction: id=7491738, ip=138.199.35.217, site=Bartonphillips, page=/test-loging.php, event=mousemove, time=2025:03:26 14:42:08
Interaction: id=7491738, ip=138.199.35.217, site=Bartonphillips, page=/test-loging.php, event=keydown, time=2025:03:26 14:42:10
Interaction: id=7491764, ip=138.199.35.217, site=Bartonphillips, page=/findip.php, event=mousemove, time=2025:03:26 14:57:51
Interaction: id=7491764, ip=138.199.35.217, site=Bartonphillips, page=/findip.php, event=scroll, time=2025:03:26 14:57:52
Interaction: id=7491764, ip=138.199.35.217, site=Bartonphillips, page=/findip.php, event=keydown, time=2025:03:26 14:58:13
Interaction: id=7491814, ip=46.110.144.110, site=JT-Lawnservice, page=/contactus.php, event=mousemove, time=2025:03:26 15:26:10
Interaction: id=7491814, ip=46.110.144.110, site=JT-Lawnservice, page=/contactus.php, event=scroll, time=2025:03:26 15:26:11
Interaction: id=7491863, ip=138.199.35.217, site=Bartonphillips, page=/projects.php, event=mousemove, time=2025:03:26 16:06:59
Interaction: id=7491863, ip=138.199.35.217, site=Bartonphillips, page=/projects.php, event=scroll, time=2025:03:26 16:07:00
Interaction: id=7491863, ip=138.199.35.217, site=Bartonphillips, page=/projects.php, event=keydown, time=2025:03:26 16:07:04
Interaction: id=7492768, ip=174.109.163.239, site=Newbernzig, page=/index.php, event=touchstart, time=2025:03:26 18:57:48
Interaction: id=7492768, ip=174.109.163.239, site=Newbernzig, page=/index.php, event=scroll, time=2025:03:26 18:57:48
Interaction: id=7492768, ip=174.109.163.239, site=Newbernzig, page=/index.php, event=resize, time=2025:03:26 18:57:49
Interaction: id=7492768, ip=174.109.163.239, site=Newbernzig, page=/index.php, event=mousemove, time=2025:03:26 18:58:12
Interaction: id=7492768, ip=174.109.163.239, site=Newbernzig, page=/index.php, event=click, time=2025:03:26 18:58:12
